run,label,chamber,category,n,frac
exp01_llm_2b/seed_1213,LLM-2B,ch4,acknowledgment,9,0.0121
exp01_llm_2b/seed_1213,LLM-2B,ch4,question,13,0.0174
exp01_llm_2b/seed_1213,LLM-2B,ch4,request,57,0.0764
exp01_llm_2b/seed_1213,LLM-2B,ch5,directive,12,0.6667
exp01_llm_2b/seed_1213,LLM-2B,ch5,status_report,2,0.1111
exp01_llm_2b/seed_123,LLM-2B,ch1,directive,309,0.3867
exp01_llm_2b/seed_123,LLM-2B,ch1,status_report,108,0.1352
exp01_llm_2b/seed_123,LLM-2B,ch1,commitment,76,0.0951
exp01_llm_2b/seed_123,LLM-2B,ch1,question,3,0.0038
exp01_llm_2b/seed_123,LLM-2B,ch1,request,10,0.0125
exp01_llm_2b/seed_123,LLM-2B,ch1,acknowledgment,2,0.0025
exp01_llm_2b/seed_123,LLM-2B,?,directive,219,0.324
exp01_llm_2b/seed_123,LLM-2B,?,commitment,76,0.1124
exp01_llm_2b/seed_123,LLM-2B,?,status_report,135,0.1997
exp01_llm_2b/seed_123,LLM-2B,?,question,3,0.0044
exp01_llm_2b/seed_123,LLM-2B,?,request,21,0.0311
exp01_llm_2b/seed_123,LLM-2B,?,acknowledgment,2,0.003
exp01_llm_2b/seed_123,LLM-2B,ch2,directive,702,0.3108
exp01_llm_2b/seed_123,LLM-2B,ch2,commitment,268,0.1186
exp01_llm_2b/seed_123,LLM-2B,ch2,status_report,278,0.1231
exp01_llm_2b/seed_123,LLM-2B,ch2,question,24,0.0106
exp01_llm_2b/seed_123,LLM-2B,ch2,request,58,0.0257
exp01_llm_2b/seed_123,LLM-2B,ch2,acknowledgment,13,0.0058
exp01_llm_2b/seed_123,LLM-2B,ch3,directive,357,0.3549
exp01_llm_2b/seed_123,LLM-2B,ch3,status_report,256,0.2545
exp01_llm_2b/seed_123,LLM-2B,ch3,request,50,0.0497
exp01_llm_2b/seed_123,LLM-2B,ch3,question,2,0.002
exp01_llm_2b/seed_123,LLM-2B,ch3,commitment,101,0.1004
exp01_llm_2b/seed_123,LLM-2B,ch3,acknowledgment,6,0.006
exp01_llm_2b/seed_123,LLM-2B,ch4,status_report,307,0.3997
exp01_llm_2b/seed_123,LLM-2B,ch4,directive,182,0.237
exp01_llm_2b/seed_123,LLM-2B,ch4,commitment,98,0.1276
exp01_llm_2b/seed_123,LLM-2B,ch4,acknowledgment,2,0.0026
exp01_llm_2b/seed_123,LLM-2B,ch4,request,31,0.0404
exp01_llm_2b/seed_123,LLM-2B,ch4,question,3,0.0039
exp01_llm_2b/seed_123,LLM-2B,ch5,directive,1,0.3333
exp01_llm_2b/seed_42,LLM-2B,ch1,directive,317,0.3992
exp01_llm_2b/seed_42,LLM-2B,ch1,status_report,124,0.1562
exp01_llm_2b/seed_42,LLM-2B,ch1,request,19,0.0239
exp01_llm_2b/seed_42,LLM-2B,ch1,commitment,70,0.0882
exp01_llm_2b/seed_42,LLM-2B,ch1,acknowledgment,3,0.0038
exp01_llm_2b/seed_42,LLM-2B,ch1,question,3,0.0038
exp01_llm_2b/seed_42,LLM-2B,ch2,directive,298,0.3556
exp01_llm_2b/seed_42,LLM-2B,ch2,commitment,73,0.0871
exp01_llm_2b/seed_42,LLM-2B,ch2,status_report,74,0.0883
exp01_llm_2b/seed_42,LLM-2B,ch2,request,16,0.0191
exp01_llm_2b/seed_42,LLM-2B,ch2,question,4,0.0048
exp01_llm_2b/seed_42,LLM-2B,ch2,acknowledgment,5,0.006
exp01_llm_2b/seed_42,LLM-2B,?,directive,30,0.2521
exp01_llm_2b/seed_42,LLM-2B,?,status_report,14,0.1176
exp01_llm_2b/seed_42,LLM-2B,?,commitment,12,0.1008
exp01_llm_2b/seed_42,LLM-2B,?,request,2,0.0168
exp01_llm_2b/seed_42,LLM-2B,?,acknowledgment,1,0.0084
exp01_llm_2b/seed_42,LLM-2B,?,question,1,0.0084
exp01_llm_2b/seed_42,LLM-2B,ch3,commitment,56,0.0715
exp01_llm_2b/seed_42,LLM-2B,ch3,status_report,177,0.2261
exp01_llm_2b/seed_42,LLM-2B,ch3,request,9,0.0115
exp01_llm_2b/seed_42,LLM-2B,ch3,directive,348,0.4444
exp01_llm_2b/seed_42,LLM-2B,ch3,acknowledgment,4,0.0051
exp01_llm_2b/seed_42,LLM-2B,ch3,question,1,0.0013
exp01_llm_2b/seed_42,LLM-2B,ch4,status_report,324,0.3794
exp01_llm_2b/seed_42,LLM-2B,ch4,directive,262,0.3068
exp01_llm_2b/seed_42,LLM-2B,ch4,commitment,135,0.1581
exp01_llm_2b/seed_42,LLM-2B,ch4,request,26,0.0304
exp01_llm_2b/seed_42,LLM-2B,ch4,acknowledgment,6,0.007
exp01_llm_2b/seed_42,LLM-2B,ch4,question,1,0.0012
exp01_llm_2b/seed_42,LLM-2B,ch5,directive,4,0.1739
exp01_llm_2b/seed_42,LLM-2B,ch5,commitment,6,0.2609
exp01_llm_2b/seed_42,LLM-2B,ch5,status_report,6,0.2609
exp01_llm_2b/seed_456,LLM-2B,ch1,directive,392,0.4548
exp01_llm_2b/seed_456,LLM-2B,ch1,commitment,54,0.0626
exp01_llm_2b/seed_456,LLM-2B,ch1,status_report,115,0.1334
exp01_llm_2b/seed_456,LLM-2B,ch1,request,9,0.0104
exp01_llm_2b/seed_456,LLM-2B,ch1,acknowledgment,1,0.0012
exp01_llm_2b/seed_456,LLM-2B,ch2,directive,254,0.3269
exp01_llm_2b/seed_456,LLM-2B,ch2,commitment,50,0.0644
exp01_llm_2b/seed_456,LLM-2B,ch2,status_report,65,0.0837
exp01_llm_2b/seed_456,LLM-2B,ch2,request,27,0.0347
exp01_llm_2b/seed_456,LLM-2B,ch2,question,1,0.0013
exp01_llm_2b/seed_456,LLM-2B,ch2,acknowledgment,5,0.0064
exp01_llm_2b/seed_456,LLM-2B,?,directive,69,0.4035
exp01_llm_2b/seed_456,LLM-2B,?,question,1,0.0058
exp01_llm_2b/seed_456,LLM-2B,?,commitment,18,0.1053
exp01_llm_2b/seed_456,LLM-2B,?,request,5,0.0292
exp01_llm_2b/seed_456,LLM-2B,?,status_report,20,0.117
exp01_llm_2b/seed_456,LLM-2B,?,acknowledgment,2,0.0117
exp01_llm_2b/seed_456,LLM-2B,ch3,directive,282,0.3377
exp01_llm_2b/seed_456,LLM-2B,ch3,commitment,22,0.0263
exp01_llm_2b/seed_456,LLM-2B,ch3,status_report,322,0.3856
exp01_llm_2b/seed_456,LLM-2B,ch3,acknowledgment,2,0.0024
exp01_llm_2b/seed_456,LLM-2B,ch3,request,50,0.0599
exp01_llm_2b/seed_456,LLM-2B,ch4,directive,267,0.3371
exp01_llm_2b/seed_456,LLM-2B,ch4,status_report,276,0.3485
exp01_llm_2b/seed_456,LLM-2B,ch4,commitment,83,0.1048
exp01_llm_2b/seed_456,LLM-2B,ch4,request,30,0.0379
exp01_llm_2b/seed_456,LLM-2B,ch4,acknowledgment,3,0.0038
exp01_llm_2b/seed_456,LLM-2B,ch4,question,6,0.0076
exp01_llm_2b/seed_456,LLM-2B,ch5,status_report,9,0.5625
exp01_llm_2b/seed_456,LLM-2B,ch5,directive,2,0.125
exp01_llm_2b/seed_789,LLM-2B,ch1,commitment,49,0.0716
exp01_llm_2b/seed_789,LLM-2B,ch1,status_report,77,0.1126
exp01_llm_2b/seed_789,LLM-2B,ch1,directive,398,0.5819
exp01_llm_2b/seed_789,LLM-2B,ch1,request,6,0.0088
exp01_llm_2b/seed_789,LLM-2B,ch1,acknowledgment,2,0.0029
exp01_llm_2b/seed_789,LLM-2B,ch2,directive,368,0.4861
exp01_llm_2b/seed_789,LLM-2B,ch2,status_report,26,0.0343
exp01_llm_2b/seed_789,LLM-2B,ch2,commitment,28,0.037
exp01_llm_2b/seed_789,LLM-2B,ch2,request,9,0.0119
exp01_llm_2b/seed_789,LLM-2B,?,request,3,0.0205
exp01_llm_2b/seed_789,LLM-2B,?,commitment,3,0.0205
exp01_llm_2b/seed_789,LLM-2B,?,directive,80,0.5479
exp01_llm_2b/seed_789,LLM-2B,?,status_report,8,0.0548
exp01_llm_2b/seed_789,LLM-2B,ch3,status_report,13,0.0185
exp01_llm_2b/seed_789,LLM-2B,ch3,directive,388,0.5511
exp01_llm_2b/seed_789,LLM-2B,ch3,question,1,0.0014
exp01_llm_2b/seed_789,LLM-2B,ch3,commitment,13,0.0185
exp01_llm_2b/seed_789,LLM-2B,ch3,request,11,0.0156
exp01_llm_2b/seed_789,LLM-2B,ch3,acknowledgment,1,0.0014
exp01_llm_2b/seed_789,LLM-2B,ch4,directive,355,0.4856
exp01_llm_2b/seed_789,LLM-2B,ch4,status_report,19,0.026
exp01_llm_2b/seed_789,LLM-2B,ch4,commitment,22,0.0301
exp01_llm_2b/seed_789,LLM-2B,ch4,request,8,0.0109
exp01_llm_2b/seed_789,LLM-2B,ch5,status_report,1,0.25
exp02_llm_9b/seed_1011,LLM-9B,ch1,status_report,435,0.5983
exp02_llm_9b/seed_1011,LLM-9B,ch1,commitment,170,0.2338
exp02_llm_9b/seed_1011,LLM-9B,ch1,request,33,0.0454
exp02_llm_9b/seed_1011,LLM-9B,ch1,directive,3,0.0041
exp02_llm_9b/seed_1011,LLM-9B,ch1,question,12,0.0165
exp02_llm_9b/seed_1011,LLM-9B,ch2,commitment,261,0.261
exp02_llm_9b/seed_1011,LLM-9B,ch2,status_report,359,0.359
exp02_llm_9b/seed_1011,LLM-9B,ch2,request,241,0.241
exp02_llm_9b/seed_1011,LLM-9B,ch2,question,40,0.04
exp02_llm_9b/seed_1011,LLM-9B,ch2,directive,34,0.034
exp02_llm_9b/seed_1011,LLM-9B,ch2,acknowledgment,2,0.002
exp02_llm_9b/seed_1011,LLM-9B,?,request,19,0.0731
exp02_llm_9b/seed_1011,LLM-9B,?,status_report,121,0.4654
exp02_llm_9b/seed_1011,LLM-9B,?,commitment,44,0.1692
exp02_llm_9b/seed_1011,LLM-9B,?,question,8,0.0308
exp02_llm_9b/seed_1011,LLM-9B,?,directive,1,0.0038
exp02_llm_9b/seed_1011,LLM-9B,ch3,commitment,262,0.2921
exp02_llm_9b/seed_1011,LLM-9B,ch3,status_report,547,0.6098
exp02_llm_9b/seed_1011,LLM-9B,ch3,request,215,0.2397
exp02_llm_9b/seed_1011,LLM-9B,ch3,question,19,0.0212
exp02_llm_9b/seed_1011,LLM-9B,ch3,directive,5,0.0056
exp02_llm_9b/seed_1011,LLM-9B,ch3,acknowledgment,2,0.0022
exp02_llm_9b/seed_1011,LLM-9B,ch4,status_report,430,0.6065
exp02_llm_9b/seed_1011,LLM-9B,ch4,commitment,128,0.1805
exp02_llm_9b/seed_1011,LLM-9B,ch4,acknowledgment,3,0.0042
exp02_llm_9b/seed_1011,LLM-9B,ch4,question,50,0.0705
exp02_llm_9b/seed_1011,LLM-9B,ch4,request,32,0.0451
exp02_llm_9b/seed_1011,LLM-9B,ch4,directive,3,0.0042
exp02_llm_9b/seed_1011,LLM-9B,ch5,commitment,3,0.5
exp02_llm_9b/seed_1011,LLM-9B,ch5,status_report,3,0.5
exp02_llm_9b/seed_1213,LLM-9B,ch1,commitment,185,0.2134
exp02_llm_9b/seed_1213,LLM-9B,ch1,status_report,469,0.5409
exp02_llm_9b/seed_1213,LLM-9B,ch1,request,40,0.0461
exp02_llm_9b/seed_1213,LLM-9B,ch1,question,21,0.0242
exp02_llm_9b/seed_1213,LLM-9B,ch1,directive,3,0.0035
exp02_llm_9b/seed_1213,LLM-9B,?,status_report,55,0.4297
exp02_llm_9b/seed_1213,LLM-9B,?,commitment,28,0.2188
exp02_llm_9b/seed_1213,LLM-9B,?,request,20,0.1562
exp02_llm_9b/seed_1213,LLM-9B,?,question,6,0.0469
exp02_llm_9b/seed_1213,LLM-9B,ch2,request,242,0.2798
exp02_llm_9b/seed_1213,LLM-9B,ch2,status_report,349,0.4035
exp02_llm_9b/seed_1213,LLM-9B,ch2,question,22,0.0254
exp02_llm_9b/seed_1213,LLM-9B,ch2,acknowledgment,3,0.0035
exp02_llm_9b/seed_1213,LLM-9B,ch2,directive,32,0.037
exp02_llm_9b/seed_1213,LLM-9B,ch2,commitment,208,0.2405
exp02_llm_9b/seed_1213,LLM-9B,ch3,request,209,0.2322
exp02_llm_9b/seed_1213,LLM-9B,ch3,status_report,572,0.6356
exp02_llm_9b/seed_1213,LLM-9B,ch3,commitment,244,0.2711
exp02_llm_9b/seed_1213,LLM-9B,ch3,directive,2,0.0022
exp02_llm_9b/seed_1213,LLM-9B,ch3,question,13,0.0144
exp02_llm_9b/seed_1213,LLM-9B,ch3,acknowledgment,5,0.0056
exp02_llm_9b/seed_1213,LLM-9B,ch4,status_report,458,0.5492
exp02_llm_9b/seed_1213,LLM-9B,ch4,commitment,161,0.193
exp02_llm_9b/seed_1213,LLM-9B,ch4,question,77,0.0923
exp02_llm_9b/seed_1213,LLM-9B,ch4,request,43,0.0516
exp02_llm_9b/seed_1213,LLM-9B,ch4,directive,3,0.0036
exp02_llm_9b/seed_1213,LLM-9B,ch4,acknowledgment,4,0.0048
exp02_llm_9b/seed_1213,LLM-9B,ch5,status_report,1,0.5
exp02_llm_9b/seed_123,LLM-9B,ch1,status_report,413,0.4594
exp02_llm_9b/seed_123,LLM-9B,ch1,question,5,0.0056
exp02_llm_9b/seed_123,LLM-9B,ch1,commitment,219,0.2436
exp02_llm_9b/seed_123,LLM-9B,ch1,directive,7,0.0078
exp02_llm_9b/seed_123,LLM-9B,ch1,request,50,0.0556
exp02_llm_9b/seed_123,LLM-9B,ch1,acknowledgment,2,0.0022
exp02_llm_9b/seed_123,LLM-9B,ch2,acknowledgment,4,0.0046
exp02_llm_9b/seed_123,LLM-9B,ch2,request,163,0.1861
exp02_llm_9b/seed_123,LLM-9B,ch2,commitment,165,0.1884
exp02_llm_9b/seed_123,LLM-9B,ch2,status_report,253,0.2888
exp02_llm_9b/seed_123,LLM-9B,ch2,question,11,0.0126
exp02_llm_9b/seed_123,LLM-9B,ch2,directive,88,0.1005
exp02_llm_9b/seed_123,LLM-9B,?,request,8,0.1212
exp02_llm_9b/seed_123,LLM-9B,?,status_report,32,0.4848
exp02_llm_9b/seed_123,LLM-9B,?,commitment,16,0.2424
exp02_llm_9b/seed_123,LLM-9B,?,question,6,0.0909
exp02_llm_9b/seed_123,LLM-9B,?,acknowledgment,1,0.0152
exp02_llm_9b/seed_123,LLM-9B,?,directive,2,0.0303
exp02_llm_9b/seed_123,LLM-9B,ch3,request,240,0.267
exp02_llm_9b/seed_123,LLM-9B,ch3,commitment,211,0.2347
exp02_llm_9b/seed_123,LLM-9B,ch3,status_report,568,0.6318
exp02_llm_9b/seed_123,LLM-9B,ch3,question,24,0.0267
exp02_llm_9b/seed_123,LLM-9B,ch3,directive,4,0.0044
exp02_llm_9b/seed_123,LLM-9B,ch3,acknowledgment,8,0.0089
exp02_llm_9b/seed_123,LLM-9B,ch4,status_report,486,0.5645
exp02_llm_9b/seed_123,LLM-9B,ch4,commitment,156,0.1812
exp02_llm_9b/seed_123,LLM-9B,ch4,request,73,0.0848
exp02_llm_9b/seed_123,LLM-9B,ch4,question,61,0.0708
exp02_llm_9b/seed_123,LLM-9B,ch4,acknowledgment,13,0.0151
exp02_llm_9b/seed_123,LLM-9B,ch4,directive,3,0.0035
exp02_llm_9b/seed_123,LLM-9B,ch5,status_report,105,0.2823
exp02_llm_9b/seed_123,LLM-9B,ch5,commitment,41,0.1102
exp02_llm_9b/seed_123,LLM-9B,ch5,acknowledgment,6,0.0161
exp02_llm_9b/seed_123,LLM-9B,ch5,request,27,0.0726
exp02_llm_9b/seed_123,LLM-9B,ch5,question,11,0.0296
exp02_llm_9b/seed_123,LLM-9B,ch5,directive,39,0.1048
exp02_llm_9b/seed_42,LLM-9B,ch1,status_report,537,0.5641
exp02_llm_9b/seed_42,LLM-9B,ch1,commitment,191,0.2006
exp02_llm_9b/seed_42,LLM-9B,ch1,request,37,0.0389
exp02_llm_9b/seed_42,LLM-9B,ch1,directive,8,0.0084
exp02_llm_9b/seed_42,LLM-9B,ch1,acknowledgment,3,0.0032
exp02_llm_9b/seed_42,LLM-9B,ch1,question,9,0.0095
exp02_llm_9b/seed_42,LLM-9B,ch2,commitment,307,0.2104
exp02_llm_9b/seed_42,LLM-9B,ch2,status_report,648,0.4441
exp02_llm_9b/seed_42,LLM-9B,ch2,question,69,0.0473
exp02_llm_9b/seed_42,LLM-9B,ch2,request,417,0.2858
exp02_llm_9b/seed_42,LLM-9B,ch2,directive,40,0.0274
exp02_llm_9b/seed_42,LLM-9B,ch2,acknowledgment,3,0.0021
exp02_llm_9b/seed_42,LLM-9B,?,request,61,0.1374
exp02_llm_9b/seed_42,LLM-9B,?,status_report,163,0.3671
exp02_llm_9b/seed_42,LLM-9B,?,commitment,109,0.2455
exp02_llm_9b/seed_42,LLM-9B,?,question,17,0.0383
exp02_llm_9b/seed_42,LLM-9B,?,directive,2,0.0045
exp02_llm_9b/seed_42,LLM-9B,?,acknowledgment,3,0.0068
exp02_llm_9b/seed_42,LLM-9B,ch3,status_report,744,0.5519
exp02_llm_9b/seed_42,LLM-9B,ch3,request,299,0.2218
exp02_llm_9b/seed_42,LLM-9B,ch3,commitment,343,0.2545
exp02_llm_9b/seed_42,LLM-9B,ch3,directive,3,0.0022
exp02_llm_9b/seed_42,LLM-9B,ch3,question,24,0.0178
exp02_llm_9b/seed_42,LLM-9B,ch3,acknowledgment,3,0.0022
exp02_llm_9b/seed_42,LLM-9B,ch4,commitment,158,0.1466
exp02_llm_9b/seed_42,LLM-9B,ch4,status_report,433,0.4017
exp02_llm_9b/seed_42,LLM-9B,ch4,request,61,0.0566
exp02_llm_9b/seed_42,LLM-9B,ch4,question,98,0.0909
exp02_llm_9b/seed_42,LLM-9B,ch4,acknowledgment,2,0.0019
exp02_llm_9b/seed_42,LLM-9B,ch4,directive,3,0.0028
exp02_llm_9b/seed_42,LLM-9B,ch5,commitment,2,0.2
exp02_llm_9b/seed_42,LLM-9B,ch5,question,3,0.3
exp02_llm_9b/seed_42,LLM-9B,ch5,status_report,2,0.2
exp02_llm_9b/seed_42,LLM-9B,ch5,acknowledgment,1,0.1
exp02_llm_9b/seed_456,LLM-9B,ch1,commitment,204,0.289
exp02_llm_9b/seed_456,LLM-9B,ch1,status_report,282,0.3994
exp02_llm_9b/seed_456,LLM-9B,ch1,question,7,0.0099
exp02_llm_9b/seed_456,LLM-9B,ch1,request,31,0.0439
exp02_llm_9b/seed_456,LLM-9B,ch1,directive,2,0.0028
exp02_llm_9b/seed_456,LLM-9B,ch1,acknowledgment,1,0.0014
exp02_llm_9b/seed_456,LLM-9B,ch2,status_report,335,0.3747
exp02_llm_9b/seed_456,LLM-9B,ch2,commitment,207,0.2315
exp02_llm_9b/seed_456,LLM-9B,ch2,question,35,0.0391
exp02_llm_9b/seed_456,LLM-9B,ch2,request,208,0.2327
exp02_llm_9b/seed_456,LLM-9B,ch2,acknowledgment,3,0.0034
exp02_llm_9b/seed_456,LLM-9B,ch2,directive,14,0.0157
exp02_llm_9b/seed_456,LLM-9B,?,request,39,0.0867
exp02_llm_9b/seed_456,LLM-9B,?,status_report,134,0.2978
exp02_llm_9b/seed_456,LLM-9B,?,question,11,0.0244
exp02_llm_9b/seed_456,LLM-9B,?,commitment,107,0.2378
exp02_llm_9b/seed_456,LLM-9B,?,directive,1,0.0022
exp02_llm_9b/seed_456,LLM-9B,ch3,commitment,219,0.2444
exp02_llm_9b/seed_456,LLM-9B,ch3,status_report,526,0.5871
exp02_llm_9b/seed_456,LLM-9B,ch3,request,269,0.3002
exp02_llm_9b/seed_456,LLM-9B,ch3,question,18,0.0201
exp02_llm_9b/seed_456,LLM-9B,ch3,directive,2,0.0022
exp02_llm_9b/seed_456,LLM-9B,ch3,acknowledgment,5,0.0056
exp02_llm_9b/seed_456,LLM-9B,ch4,commitment,145,0.2238
exp02_llm_9b/seed_456,LLM-9B,ch4,status_report,265,0.409
exp02_llm_9b/seed_456,LLM-9B,ch4,request,41,0.0633
exp02_llm_9b/seed_456,LLM-9B,ch4,question,29,0.0448
exp02_llm_9b/seed_456,LLM-9B,ch4,directive,8,0.0123
exp02_llm_9b/seed_456,LLM-9B,ch5,status_report,12,0.3429
exp02_llm_9b/seed_456,LLM-9B,ch5,question,4,0.1143
exp02_llm_9b/seed_456,LLM-9B,ch5,request,7,0.2
exp02_llm_9b/seed_456,LLM-9B,ch5,commitment,5,0.1429
exp02_llm_9b/seed_789,LLM-9B,ch1,status_report,427,0.5102
exp02_llm_9b/seed_789,LLM-9B,ch1,acknowledgment,4,0.0048
exp02_llm_9b/seed_789,LLM-9B,ch1,commitment,195,0.233
exp02_llm_9b/seed_789,LLM-9B,ch1,directive,7,0.0084
exp02_llm_9b/seed_789,LLM-9B,ch1,question,6,0.0072
exp02_llm_9b/seed_789,LLM-9B,ch1,request,27,0.0323
exp02_llm_9b/seed_789,LLM-9B,ch2,status_report,334,0.4093
exp02_llm_9b/seed_789,LLM-9B,ch2,question,24,0.0294
exp02_llm_9b/seed_789,LLM-9B,ch2,commitment,144,0.1765
exp02_llm_9b/seed_789,LLM-9B,ch2,request,186,0.2279
exp02_llm_9b/seed_789,LLM-9B,ch2,directive,35,0.0429
exp02_llm_9b/seed_789,LLM-9B,ch2,acknowledgment,3,0.0037
exp02_llm_9b/seed_789,LLM-9B,?,status_report,91,0.4174
exp02_llm_9b/seed_789,LLM-9B,?,commitment,39,0.1789
exp02_llm_9b/seed_789,LLM-9B,?,request,27,0.1239
exp02_llm_9b/seed_789,LLM-9B,?,question,4,0.0183
exp02_llm_9b/seed_789,LLM-9B,?,directive,5,0.0229
exp02_llm_9b/seed_789,LLM-9B,ch3,status_report,516,0.5753
exp02_llm_9b/seed_789,LLM-9B,ch3,commitment,239,0.2664
exp02_llm_9b/seed_789,LLM-9B,ch3,request,200,0.223
exp02_llm_9b/seed_789,LLM-9B,ch3,question,18,0.0201
exp02_llm_9b/seed_789,LLM-9B,ch3,directive,5,0.0056
exp02_llm_9b/seed_789,LLM-9B,ch3,acknowledgment,10,0.0111
exp02_llm_9b/seed_789,LLM-9B,ch4,status_report,394,0.4811
exp02_llm_9b/seed_789,LLM-9B,ch4,commitment,149,0.1819
exp02_llm_9b/seed_789,LLM-9B,ch4,question,22,0.0269
exp02_llm_9b/seed_789,LLM-9B,ch4,request,43,0.0525
exp02_llm_9b/seed_789,LLM-9B,ch4,acknowledgment,20,0.0244
exp02_llm_9b/seed_789,LLM-9B,ch4,directive,2,0.0024
exp02_llm_9b/seed_789,LLM-9B,ch5,status_report,25,0.2976
exp02_llm_9b/seed_789,LLM-9B,ch5,commitment,8,0.0952
exp02_llm_9b/seed_789,LLM-9B,ch5,question,4,0.0476
exp02_llm_9b/seed_789,LLM-9B,ch5,request,5,0.0595
exp02_llm_9b/seed_789,LLM-9B,ch5,acknowledgment,1,0.0119
exp02_llm_9b/seed_789,LLM-9B,ch5,directive,2,0.0238
exp07_llm_2b_social_prompt/seed_1011,LLM-2B+Heb,ch1,directive,336,0.4195
exp07_llm_2b_social_prompt/seed_1011,LLM-2B+Heb,ch1,status_report,97,0.1211
exp07_llm_2b_social_prompt/seed_1011,LLM-2B+Heb,ch1,commitment,39,0.0487
exp07_llm_2b_social_prompt/seed_1011,LLM-2B+Heb,ch1,question,72,0.0899
